Episode 203, Score: 477.687, Steps: 6060, Episode Time: 0h 1m 4.701742887496948s
Episode 204, Score: 1323.81, Steps: 16819, Episode Time: 0h 2m 54.539284467697144s
Episode 205, Score: 2713.58, Steps: 6060, Episode Time: 0h 1m 4.377448081970215s
Episode 206, Score: 710.523, Steps: 6060, Episode Time: 0h 1m 5.146583557128906s
Episode 207, Score: 713.708, Steps: 6160, Episode Time: 0h 1m 5.1884684562683105s
Episode 208, Score: 1706.97, Steps: 16819, Episode Time: 0h 2m 55.18920350074768s
Episode 209, Score: 903.428, Steps: 16819, Episode Time: 0h 2m 55.139445543289185s
Episode 210, Score: 2695.44, Steps: 6060, Episode Time: 0h 1m 3.8648552894592285s
Episode 211, Score: 914.211, Steps: 16819, Episode Time: 0h 2m 55.28606295585632s
Episode 212, Score: 485.108, Steps: 16819, Episode Time: 0h 2m 56.77201461791992s
Episode 213, Score: 269.941, Steps: 16819, Episode Time: 0h 2m 54.24409198760986s
Episode 214, Score: 302.686, Steps: 16819, Episode Time: 0h 2m 56.62057065963745s
Episode 215, Score: 563.87, Steps: 16819, Episode Time: 0h 2m 59.91573119163513s
Episode 216, Score: 295.822, Steps: 16819, Episode Time: 0h 3m 24.81121563911438s
Episode 217, Score: 484.326, Steps: 16819, Episode Time: 0h 3m 18.2360520362854s
Episode 218, Score: 904.748, Steps: 6560, Episode Time: 0h 1m 14.1168053150177s
Episode 219, Score: 306.057, Steps: 16819, Episode Time: 0h 3m 13.88278341293335s
Episode 220, Score: 919.645, Steps: 16819, Episode Time: 0h 3m 2.2317211627960205s
Episode 221, Score: 471.796, Steps: 16819, Episode Time: 0h 3m 6.022620916366577s
Episode 222, Score: 478.51, Steps: 16819, Episode Time: 0h 3m 7.5729756355285645s
Episode 223, Score: 477.21, Steps: 16819, Episode Time: 0h 3m 12.707552671432495s
Episode 224, Score: 486.418, Steps: 16819, Episode Time: 0h 3m 9.030761241912842s
Episode 225, Score: 481.151, Steps: 16819, Episode Time: 0h 3m 9.44407606124878s
Episode 226, Score: 714.024, Steps: 10460, Episode Time: 0h 1m 53.34535098075867s
Episode 227, Score: 486.689, Steps: 16819, Episode Time: 0h 3m 2.6577670574188232s
Episode 228, Score: 706.151, Steps: 16819, Episode Time: 0h 3m 0.7624382972717285s
Episode 229, Score: 1190.3, Steps: 16819, Episode Time: 0h 3m 2.290212392807007s
Episode 230, Score: 289.445, Steps: 16819, Episode Time: 0h 2m 59.33609104156494s
Episode 231, Score: 487.022, Steps: 12160, Episode Time: 0h 2m 20.120108604431152s
Episode 232, Score: 288.931, Steps: 16819, Episode Time: 0h 3m 23.84634017944336s
Episode 233, Score: 2000.43, Steps: 16819, Episode Time: 0h 5m 30.895280838012695s
Episode 234, Score: 480.26, Steps: 16819, Episode Time: 0h 6m 21.5195529460907s
Episode 235, Score: 2687.64, Steps: 6060, Episode Time: 0h 2m 19.959519147872925s
Episode 236, Score: 2705.07, Steps: 6060, Episode Time: 0h 2m 7.546516418457031s
Episode 237, Score: 1045.41, Steps: 16819, Episode Time: 0h 4m 35.71298789978027s
Episode 238, Score: 659.413, Steps: 7360, Episode Time: 0h 2m 56.46915411949158s
Episode 239, Score: 686.806, Steps: 16819, Episode Time: 0h 5m 11.908532619476318s
Episode 240, Score: 500.788, Steps: 16819, Episode Time: 0h 4m 51.2874755859375s
Episode 241, Score: 703.17, Steps: 11960, Episode Time: 0h 3m 15.359058618545532s
Episode 242, Score: 1228.23, Steps: 16819, Episode Time: 0h 4m 58.77531886100769s
Episode 243, Score: 2216.83, Steps: 5878, Episode Time: 0h 1m 44.206451416015625s
Episode 244, Score: 1500.05, Steps: 5969, Episode Time: 0h 1m 46.4929141998291s
Episode 245, Score: 1133.71, Steps: 16819, Episode Time: 0h 4m 38.41040635108948s
Episode 246, Score: 237.096, Steps: 5969, Episode Time: 0h 1m 12.907231092453003s
Episode 247, Score: 2317.85, Steps: 7660, Episode Time: 0h 1m 26.217906951904297s
Episode 248, Score: 482.75, Steps: 7260, Episode Time: 0h 1m 18.38949227333069s
Episode 249, Score: 484.173, Steps: 16819, Episode Time: 0h 2m 57.593148946762085s
Episode 250, Score: 2004.52, Steps: 5969, Episode Time: 0h 1m 4.5607593059539795s
Episode 251, Score: 478.49, Steps: 16819, Episode Time: 0h 2m 57.52783679962158s
Episode 252, Score: 75.2375, Steps: 6260, Episode Time: 0h 1m 8.686487674713135s
Episode 253, Score: 464.223, Steps: 16819, Episode Time: 0h 3m 0.11112761497497559s
Episode 254, Score: 2588.53, Steps: 16819, Episode Time: 0h 3m 14.257409811019897s
Episode 255, Score: 1435.91, Steps: 6360, Episode Time: 0h 1m 9.55080771446228s
Episode 256, Score: 473.478, Steps: 16819, Episode Time: 0h 2m 59.18513202667236s
Episode 257, Score: 2703.02, Steps: 5969, Episode Time: 0h 1m 4.898485898971558s
Episode 258, Score: 1416.31, Steps: 5878, Episode Time: 0h 1m 4.318570613861084s
Episode 259, Score: 312.826, Steps: 16819, Episode Time: 0h 2m 58.33601522445679s
Episode 260, Score: 308.563, Steps: 6460, Episode Time: 0h 1m 11.619487762451172s
Episode 261, Score: 907.566, Steps: 16819, Episode Time: 0h 2m 59.266642332077026s
Episode 262, Score: 291.499, Steps: 16819, Episode Time: 0h 2m 52.507463216781616s
Episode 263, Score: 313.43, Steps: 16819, Episode Time: 0h 2m 54.00967812538147s
Episode 264, Score: 353.4, Steps: 11860, Episode Time: 0h 2m 3.239635467529297s
Episode 265, Score: 479.414, Steps: 16819, Episode Time: 0h 2m 54.03408718109131s
Episode 266, Score: 479.879, Steps: 9660, Episode Time: 0h 1m 41.61023211479187s
Episode 267, Score: 489.125, Steps: 16819, Episode Time: 0h 2m 53.72941207885742s
Episode 268, Score: 1264.2, Steps: 16819, Episode Time: 0h 2m 54.267460346221924s
Episode 269, Score: 1414.35, Steps: 16819, Episode Time: 0h 2m 54.30840992927551s
Episode 270, Score: 486.332, Steps: 16819, Episode Time: 0h 2m 55.194125175476074s
Episode 271, Score: 1469.31, Steps: 5969, Episode Time: 0h 1m 3.233365774154663s
Episode 272, Score: 490.751, Steps: 16819, Episode Time: 0h 2m 54.46627879142761s
Episode 273, Score: 1704.09, Steps: 6260, Episode Time: 0h 1m 5.784055471420288s
Episode 274, Score: 1661.69, Steps: 16819, Episode Time: 0h 2m 54.766170501708984s
Episode 275, Score: 2699.76, Steps: 6460, Episode Time: 0h 1m 7.717229604721069s
Episode 276, Score: 1336.47, Steps: 6460, Episode Time: 0h 1m 8.290859937667847s
Episode 277, Score: 2689.07, Steps: 5878, Episode Time: 0h 1m 1.7360479831695557s
Episode 278, Score: 2006.75, Steps: 12160, Episode Time: 0h 2m 7.135159015655518s
Episode 279, Score: 707.692, Steps: 6060, Episode Time: 0h 1m 3.7180211544036865s
Episode 280, Score: 676.128, Steps: 16819, Episode Time: 0h 2m 55.7341730594635s
Episode 281, Score: 2715.75, Steps: 6460, Episode Time: 0h 1m 8.26932144165039s
Episode 282, Score: 699.156, Steps: 16819, Episode Time: 0h 2m 54.2315628528595s
Episode 283, Score: 713.304, Steps: 16819, Episode Time: 0h 2m 54.59150743484497s
Episode 284, Score: 491.292, Steps: 16819, Episode Time: 0h 2m 54.89094638824463s
Episode 285, Score: 2704.7, Steps: 6460, Episode Time: 0h 1m 8.499579429626465s
Episode 286, Score: 913.48, Steps: 16819, Episode Time: 0h 2m 54.057700395584106s
Episode 287, Score: 1701.81, Steps: 5969, Episode Time: 0h 1m 3.8229880332946777s
Episode 288, Score: 2224.29, Steps: 6060, Episode Time: 0h 1m 3.851565361022949s
Episode 289, Score: 2729.85, Steps: 5969, Episode Time: 0h 1m 2.8178648948669434s
Episode 290, Score: 634.2, Steps: 5878, Episode Time: 0h 1m 2.0383856296539307s
Episode 291, Score: 2692.91, Steps: 5878, Episode Time: 0h 1m 2.615102529525757s
Episode 292, Score: 2702.55, Steps: 5878, Episode Time: 0h 1m 1.8872113227844238s
Episode 293, Score: 715.965, Steps: 5969, Episode Time: 0h 1m 2.8973941802978516s
Episode 294, Score: 475.623, Steps: 16819, Episode Time: 0h 2m 54.984068155288696s
Episode 295, Score: 311.766, Steps: 16819, Episode Time: 0h 2m 54.465834617614746s
Episode 296, Score: 485.562, Steps: 16819, Episode Time: 0h 2m 54.9820122718811s
Episode 297, Score: 482.005, Steps: 16819, Episode Time: 0h 2m 53.66013169288635s
Episode 298, Score: 2186.08, Steps: 12060, Episode Time: 0h 2m 6.282461404800415s
Episode 299, Score: 1115.27, Steps: 5969, Episode Time: 0h 1m 3.2607016563415527s
Episode 300, Score: 264.783, Steps: 16819, Episode Time: 0h 2m 54.44192981719971s
Episode 301, Score: 486.436, Steps: 5878, Episode Time: 0h 1m 2.4271438121795654s
Episode 302, Score: 488.349, Steps: 5969, Episode Time: 0h 1m 2.914594888687134s
Episode 303, Score: 283.081, Steps: 6460, Episode Time: 0h 1m 8.359148979187012s
Episode 304, Score: 484.688, Steps: 5878, Episode Time: 0h 1m 2.350965976715088s
Episode 305, Score: 703.691, Steps: 5878, Episode Time: 0h 1m 2.4990227222442627s
Episode 306, Score: 482.045, Steps: 6060, Episode Time: 0h 1m 3.7454686164855957s
Episode 307, Score: 899.794, Steps: 16819, Episode Time: 0h 2m 54.01771903038025s
Episode 308, Score: 1565.21, Steps: 5878, Episode Time: 0h 1m 2.398620128631592s
Episode 309, Score: 2708.58, Steps: 5696, Episode Time: 0h 1m 0.1457071304321289s
Episode 310, Score: 1323.84, Steps: 6460, Episode Time: 0h 1m 8.10300326347351s
Episode 311, Score: 1698.55, Steps: 6160, Episode Time: 0h 1m 5.153848171234131s
Episode 312, Score: 2005.3, Steps: 5878, Episode Time: 0h 1m 2.230839967727661s
Episode 313, Score: 2721.67, Steps: 5696, Episode Time: 0h 1m 0.7449016571044922s
Episode 314, Score: 763.035, Steps: 8460, Episode Time: 0h 1m 28.509185075759888s
