Episode 140, Score: -1.5791, Steps: 16819, Episode Time: 0h 2m 56.18878102302551s
Episode 141, Score: -2.82129, Steps: 16819, Episode Time: 0h 2m 56.46747803688049s
Episode 142, Score: 4.08179, Steps: 16819, Episode Time: 0h 2m 52.43092703819275s
Episode 143, Score: -0.800537, Steps: 16819, Episode Time: 0h 2m 52.700623512268066s
Episode 144, Score: -0.683594, Steps: 16819, Episode Time: 0h 2m 52.30519342422485s
Episode 145, Score: -2.13379, Steps: 16819, Episode Time: 0h 2m 53.3309166431427s
Episode 146, Score: -0.82373, Steps: 16819, Episode Time: 0h 2m 58.32131791114807s
Episode 147, Score: 2.52905, Steps: 16819, Episode Time: 0h 3m 5.89175820350647s
Episode 148, Score: 1.90137, Steps: 16819, Episode Time: 0h 3m 5.732497930526733s
Episode 149, Score: 177.999, Steps: 16819, Episode Time: 0h 3m 12.584033489227295s
Episode 150, Score: -3.71899, Steps: 16819, Episode Time: 0h 3m 19.38172197341919s
Episode 151, Score: 76.2004, Steps: 16819, Episode Time: 0h 3m 17.288453578948975s
Episode 152, Score: 10.8604, Steps: 16819, Episode Time: 0h 3m 17.151909351348877s
Episode 153, Score: 10.1604, Steps: 16819, Episode Time: 0h 3m 17.60882067680359s
Episode 154, Score: 9.15967, Steps: 16819, Episode Time: 0h 3m 16.584671020507812s
Episode 155, Score: 8.40918, Steps: 16819, Episode Time: 0h 3m 23.694535970687866s
Episode 156, Score: 4.08008, Steps: 16819, Episode Time: 0h 3m 18.77974820137024s
Episode 157, Score: 7.86523, Steps: 16819, Episode Time: 0h 3m 16.4108669757843s
Episode 158, Score: 8.90186, Steps: 16819, Episode Time: 0h 3m 15.595555067062378s
Episode 159, Score: 8.32471, Steps: 16819, Episode Time: 0h 3m 19.847737550735474s
Episode 160, Score: 7.06396, Steps: 16819, Episode Time: 0h 3m 15.980282306671143s
Episode 161, Score: 10.7598, Steps: 16827, Episode Time: 0h 3m 17.093632459640503s
Episode 162, Score: 7.86304, Steps: 16819, Episode Time: 0h 3m 15.52332854270935s
Episode 163, Score: 8.34033, Steps: 16819, Episode Time: 0h 3m 16.81046223640442s
Episode 164, Score: 8.12573, Steps: 16819, Episode Time: 0h 3m 16.174145221710205s
Episode 165, Score: 6.65967, Steps: 16819, Episode Time: 0h 2m 55.50686502456665s
Episode 166, Score: 7.41357, Steps: 16819, Episode Time: 0h 2m 54.6824905872345s
Episode 167, Score: 7.93311, Steps: 16819, Episode Time: 0h 2m 54.68106555938721s
Episode 168, Score: 43.0076, Steps: 16819, Episode Time: 0h 2m 52.442294120788574s
Episode 169, Score: 68.4434, Steps: 16819, Episode Time: 0h 2m 52.3521785736084s
Episode 170, Score: 10.1379, Steps: 16819, Episode Time: 0h 2m 51.53831076622009s
Episode 171, Score: 7.46094, Steps: 16819, Episode Time: 0h 2m 54.1479127407074s
Episode 172, Score: 8.61548, Steps: 16819, Episode Time: 0h 3m 12.934110879898071s
Episode 173, Score: 10.1709, Steps: 16819, Episode Time: 0h 3m 19.25537610054016s
Episode 174, Score: 8.02881, Steps: 16819, Episode Time: 0h 3m 17.686134576797485s
Episode 175, Score: 7.77075, Steps: 16865, Episode Time: 0h 3m 18.45532202720642s
Episode 176, Score: 7.42114, Steps: 16819, Episode Time: 0h 3m 15.56879448890686s
Episode 177, Score: 7.32813, Steps: 16819, Episode Time: 0h 2m 59.615055561065674s
Episode 178, Score: 18.0981, Steps: 16819, Episode Time: 0h 3m 36.17839741706848s
Episode 179, Score: 7.60132, Steps: 16819, Episode Time: 0h 3m 7.116085052490234s
Episode 180, Score: 9.39478, Steps: 16819, Episode Time: 0h 3m 23.82547688484192s
Episode 181, Score: 10.9058, Steps: 16819, Episode Time: 0h 3m 39.54200053215027s
